id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram
tj,Tommy Jones,1,5,2,NA,1,NA,-1,NA
mff,Marius Farjus Fietz,1,5,2,NA,1,NA,-1,NA
mub,Muriel Beck,1,5,1,NA,1,NA,-1,NA
dp,Dietmar Pollmann,1,5,2,NA,1,NA,-1,NA
krs,Kristian Sandberg,1,5,2,NA,1,NA,-1,NA
lol,Loucie Leveau,1,5,1,NA,1,NA,-1,NA
va,Viktoria Alkin,1,5,1,NA,1,NA,-1,1613
hl,Hanno Lohse,1,5,2,NA,1,NA,117,NA
anl ,Anna Leyne,1,5,1,NA,1,NA,81350,571
ch,Conrad Hensel,1,5,2,NA,1,NA,134,333
ror,Ron Rauscher,1,5,2,NA,1,NA,-1,236
thob,Thomas Burchia,1,5,2,NA,1,NA,-1,NA
annl,Anna Lyne,1,5,1,NA,1,NA,-1,NA
ajr,Anthony James Robson,1,5,2,NA,1,NA,4678,1165
djh,Danny Joe Hofmanns,1,5,2,NA,1,NA,-1,NA
mld,Mike Leonardo DeVito,1,5,2,NA,1,NA,-1,NA
jod,JODA,1,5,3,NA,1,NA,78839,4167
fal,Falconi,1,5,3,NA,1,NA,-1,NA
jg,Jurj Gold,1,5,2,NA,1,NA,-1,4425
nos,Noah Slee,1,5,2,NA,1,NA,128596,11400
bt,Bounce Bon Jovi Tributeband,2,5,3,NA,1,NA,-1,3972
jr,Jens Rösel,1,5,2,NA,1,NA,-1,576
job,Johannes Brunn,1,5,2,NA,1,NA,-1,698
tom,Tom Mylare,1,5,2,NA,1,NA,-1,565
oq,Olav Quick,1,5,2,NA,1,NA,-1,418
arm,Aron Matthews,1,5,2,NA,1,NA,177449,13300
fl,Felicia Lu Kürbiß,1,5,1,NA,1,NA,66663,55300
